timestamp_utc,total_vehicles_detected,daily_vehicle_count,vehicles_in_lane_1,vehicles_in_lane_2,vehicles_in_lane_3,vehicles_in_lane_4,vehicles_in_line
2026-08-11T22:34:13.367334+00:00,9,107,0,0,4,5,9
2026-08-11T22:35:14.780480+00:00,9,107,0,0,4,5,9
2026-08-11T22:36:13.338321+00:00,9,107,0,0,4,5,9
2026-08-11T22:37:14.023781+00:00,12,108,0,0,4,5,9
2026-08-11T22:38:11.996115+00:00,12,108,0,0,4,5,9
2026-08-11T22:39:13.181060+00:00,12,108,0,0,4,5,9
2026-08-11T22:40:14.543495+00:00,9,108,0,0,2,4,6
2026-08-11T22:41:13.329960+00:00,9,108,0,0,2,4,6
2026-08-11T22:42:13.446158+00:00,9,108,0,0,2,4,6
2026-08-11T22:43:13.398122+00:00,6,108,0,0,4,1,5
2026-08-11T22:44:14.379924+00:00,6,108,0,0,4,1,5
2026-08-11T22:45:17.043849+00:00,6,108,0,0,4,1,5
2026-08-11T22:46:13.513457+00:00,13,108,0,0,4,7,11
2026-08-11T22:47:12.114805+00:00,13,108,0,0,4,7,11
2026-08-11T22:48:12.921460+00:00,13,108,0,0,4,7,11
2026-08-11T22:49:12.985860+00:00,12,108,0,1,4,4,9
2026-08-11T22:50:14.216124+00:00,12,108,0,1,4,4,9
2026-08-11T22:51:13.554338+00:00,12,108,0,1,4,4,9
2026-08-11T22:52:12.516758+00:00,18,113,0,0,7,7,14
2026-08-11T22:53:13.692080+00:00,18,113,0,0,7,7,14
2026-08-11T22:54:12.811224+00:00,18,113,0,0,7,7,14
2026-08-11T22:55:13.934587+00:00,15,114,0,0,7,6,13
2026-08-11T22:56:13.267568+00:00,15,114,0,0,7,6,13
2026-08-11T22:57:12.968596+00:00,15,114,0,0,7,6,13
2026-08-11T22:58:12.258543+00:00,15,114,0,0,5,8,13
2026-08-11T22:59:13.050297+00:00,15,114,0,0,5,8,13
2026-08-11T23:00:25.829105+00:00,15,114,0,0,5,8,13
2026-08-11T23:01:15.207672+00:00,10,114,0,0,5,5,10
2026-08-11T23:02:13.063183+00:00,10,114,0,0,5,5,10
2026-08-11T23:03:17.355774+00:00,10,114,0,0,5,5,10
2026-08-11T23:04:13.290595+00:00,14,115,0,0,6,6,12
2026-08-11T23:05:16.164147+00:00,14,115,0,0,6,6,12
2026-08-11T23:06:15.081174+00:00,14,115,0,0,6,6,12
2026-08-11T23:07:13.790510+00:00,17,115,0,0,6,8,14
2026-08-11T23:08:13.399324+00:00,17,115,0,0,6,8,14
2026-08-11T23:09:14.031109+00:00,17,115,0,0,6,8,14
2026-08-11T23:10:16.888124+00:00,12,115,0,0,4,5,9
2026-08-11T23:11:13.741763+00:00,12,115,0,0,4,5,9
2026-08-11T23:12:13.930062+00:00,12,115,0,0,4,5,9
2026-08-11T23:13:13.369559+00:00,3,116,0,0,2,0,2
2026-08-11T23:14:12.542109+00:00,3,116,0,0,2,0,2
2026-08-11T23:15:17.428803+00:00,3,116,0,0,2,0,2
2026-08-11T23:16:17.419652+00:00,14,116,0,0,5,6,11
2026-08-11T23:17:11.910390+00:00,14,116,0,0,5,6,11
2026-08-11T23:18:12.774418+00:00,14,116,0,0,5,6,11
2026-08-11T23:19:12.421416+00:00,15,117,0,0,8,7,15
2026-08-11T23:20:14.437467+00:00,15,117,0,0,8,7,15
2026-08-11T23:21:12.291063+00:00,15,117,0,0,8,7,15
2026-08-11T23:22:12.604611+00:00,15,117,0,0,6,9,15
2026-08-11T23:23:12.293594+00:00,15,117,0,0,6,9,15
2026-08-11T23:24:12.956953+00:00,15,117,0,0,6,9,15
2026-08-11T23:25:13.344821+00:00,15,118,0,0,8,7,15
2026-08-11T23:26:12.760789+00:00,15,118,0,0,8,7,15
2026-08-11T23:27:13.660058+00:00,15,118,0,0,8,7,15
2026-08-11T23:28:12.352021+00:00,14,118,0,0,7,7,14
2026-08-11T23:29:13.053054+00:00,14,118,0,0,7,7,14
2026-08-11T23:30:17.230335+00:00,14,118,0,0,7,7,14
2026-08-11T23:31:17.988114+00:00,18,120,0,9,4,5,18
2026-08-11T23:32:12.284418+00:00,18,120,0,9,4,5,18
2026-08-11T23:33:12.702932+00:00,18,120,0,9,4,5,18
2026-08-11T23:34:12.559832+00:00,11,120,0,5,3,3,11
2026-08-11T23:35:14.085069+00:00,11,120,0,5,3,3,11
